


江苏移动,#genre# 
湖北卫视,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221228159/index.m3u8
甘肃卫视,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221228166/index.m3u8
贵州卫视,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221228136/index.m3u8
辽宁卫视,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221227676/index.m3u8
辽宁卫视,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221227700/index.m3u8
辽宁卫视,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221228162/index.m3u8
重庆卫视,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221227729/index.m3u8
重庆卫视,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221228133/index.m3u8

广西卫视高清 8M http://ott.js.chinamobile.com/PLTV/3/224/3221228183/index.m3u8
吉林卫视高清 8M http://223.110.236.27/ott.js.chinamobile.com/PLTV/3/224/3221228130/index.m3u8
甘肃卫视高清 8M http://ott.js.chinamobile.com/PLTV/3/224/3221228166/index.m3u8
云南卫视高清 4M http://ott.js.chinamobile.com/PLTV/3/224/3221228169/index.m3u8
海南卫视高清 2M http://ott.js.chinamobile.com/PLTV/3/224/3221228139/index.m3u8
新疆卫视高清 2M http://ott.js.chinamobile.com/PLTV/3/224/3221228290/index.m3u8

中国功夫,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221227530/index.m3u8
公共频道,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221227819/index.m3u8
军事评论,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221227544/index.m3u8
军旅剧场,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221227603/index.m3u8
农业致富,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221227588/index.m3u8
